-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 12/31/2022 
Location: Latitude  -6.9726   Longitude -40.3438 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 551.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PRECTOTCORR,T2M,QV2M
2019,1,4,21,6.43,91.46,0.0,26.4,12.76
2019,1,4,22,8.38,69.83,0.0,26.42,12.63
2019,1,4,23,8.42,58.96,0.0,25.8,13.18
2019,1,5,0,7.88,54.07,0.0,25.02,13.85
2019,1,5,1,7.62,52.87,0.0,24.28,14.53
2019,1,5,2,7.35,53.34,0.0,23.79,14.95
2019,1,5,3,6.46,54.2,0.0,23.4,15.2
2019,1,5,4,5.17,57.34,0.0,23.09,15.26
2019,1,5,5,4.86,67.19,0.0,22.9,15.26
2019,1,5,6,6.48,78.24,0.0,24.19,14.95
2019,1,5,7,8.39,82.84,0.0,26.4,14.1
2019,1,5,8,8.49,85.88,0.0,28.81,13.12
2019,1,5,9,8.1,89.34,0.19,31.1,12.39
2019,1,5,10,7.67,92.8,0.14,32.91,11.96
2019,1,5,11,7.34,95.87,0.09,34.46,11.66
2019,1,5,12,7.07,97.82,0.11,35.44,11.47
2019,1,5,13,6.92,99.16,0.21,35.8,11.23
2019,1,5,14,7.02,99.36,0.4,35.43,11.05
2019,1,5,15,7.28,98.33,0.5,34.51,10.99
2019,1,5,16,7.37,96.82,0.29,32.99,11.23
2019,1,5,17,7.13,93.64,0.15,30.37,12.7
2019,1,5,18,7.26,90.37,0.14,28.44,13.61
2019,1,5,19,7.39,89.09,0.08,27.67,13.79
2019,1,5,20,7.74,88.38,0.02,27.24,13.73
2019,1,5,21,7.78,85.45,0.0,26.94,13.73
2019,1,5,22,7.26,81.71,0.0,26.4,14.04
2019,1,5,23,6.46,77.64,0.0,25.82,14.34
2019,1,6,0,6.49,74.23,0.0,25.42,14.59
2019,1,6,1,6.34,74.2,0.0,25.0,14.77
2019,1,6,2,6.02,72.55,0.0,24.48,14.95
2019,1,6,3,5.75,68.49,0.0,24.02,15.01
2019,1,6,4,5.51,66.24,0.0,23.6,15.08
2019,1,6,5,5.52,66.01,0.01,23.25,15.08
2019,1,6,6,6.34,71.16,0.03,23.44,15.01
2019,1,6,7,7.78,79.36,0.14,24.03,14.65
2019,1,6,8,7.45,83.31,0.25,24.91,14.47
2019,1,6,9,6.8,87.76,0.0,26.2,14.1
2019,1,6,10,6.12,94.03,0.0,27.58,13.61
2019,1,6,11,5.65,99.38,0.0,28.59,13.06
2019,1,6,12,5.52,99.94,0.0,28.98,12.51
2019,1,6,13,5.27,96.89,0.0,29.22,12.08
2019,1,6,14,5.06,93.9,0.0,29.35,11.78
2019,1,6,15,5.09,90.09,0.0,29.24,11.6
2019,1,6,16,5.06,77.96,0.0,28.6,11.84
2019,1,6,17,5.66,57.12,0.0,26.62,12.88
2019,1,6,18,6.76,44.39,0.0,25.26,12.88
2019,1,6,19,7.15,38.12,0.0,24.9,13.06
2019,1,6,20,6.97,36.38,0.0,24.46,13.31
2019,1,6,21,6.46,38.77,0.0,24.0,13.43
2019,1,6,22,5.74,45.17,0.0,23.65,13.55
2019,1,6,23,5.2,54.47,0.0,23.42,13.55
2019,1,7,0,5.09,63.67,0.0,23.24,13.49
2019,1,7,1,5.33,71.35,0.0,23.0,13.49
2019,1,7,2,5.76,75.23,0.0,22.74,13.49
2019,1,7,3,5.96,75.8,0.0,22.4,13.61
2019,1,7,4,5.78,74.24,0.0,22.1,13.79
2019,1,7,5,5.36,74.36,0.0,21.9,13.98
2019,1,7,6,5.9,77.14,0.0,22.84,14.34
2019,1,7,7,6.52,84.02,0.0,24.37,14.47
2019,1,7,8,6.37,92.67,0.0,25.83,14.22
2019,1,7,9,6.01,100.03,0.04,27.13,13.98
2019,1,7,10,5.45,105.21,0.03,28.15,13.79
2019,1,7,11,4.82,110.58,0.02,28.8,13.55
2019,1,7,12,4.32,115.64,0.01,29.15,13.24
2019,1,7,13,3.98,121.2,0.01,29.24,13.0
2019,1,7,14,3.82,126.85,0.01,29.21,12.76
2019,1,7,15,3.68,128.45,0.01,28.86,12.63
2019,1,7,16,3.5,125.92,0.0,28.25,12.76
2019,1,7,17,3.0,126.21,0.0,26.75,14.1
2019,1,7,18,2.75,133.73,0.0,25.67,13.92
2019,1,7,19,3.2,137.47,0.0,25.11,13.67
2019,1,7,20,3.43,134.82,0.0,24.49,13.43
2019,1,7,21,3.15,134.6,0.0,24.09,13.31
2019,1,7,22,3.35,132.92,0.0,23.76,13.24
2019,1,7,23,3.92,128.2,0.0,23.52,13.12
2019,1,8,0,4.79,120.16,0.01,23.33,13.06
2019,1,8,1,5.94,108.24,0.01,23.16,13.0
2019,1,8,2,6.79,96.27,0.02,22.91,13.12
2019,1,8,3,6.78,88.42,0.03,22.52,13.37
2019,1,8,4,6.12,85.9,0.05,22.11,13.67
2019,1,8,5,5.2,90.6,0.08,21.79,13.98
2019,1,8,6,4.47,102.21,0.12,22.34,14.22
2019,1,8,7,5.1,108.68,0.12,24.18,14.53
2019,1,8,8,5.62,113.43,0.12,25.82,14.47
2019,1,8,9,5.73,114.33,0.02,27.15,14.16
2019,1,8,10,5.58,111.94,0.02,28.44,13.67
2019,1,8,11,5.34,107.64,0.02,29.4,13.37
2019,1,8,12,5.2,103.01,0.01,29.69,13.18
2019,1,8,13,5.23,99.03,0.01,29.18,13.31
2019,1,8,14,5.32,97.94,0.01,28.38,13.49
2019,1,8,15,5.25,98.05,0.02,27.55,13.67
2019,1,8,16,5.03,98.31,0.02,26.7,13.73
2019,1,8,17,4.55,96.31,0.02,25.66,13.85
2019,1,8,18,4.13,91.19,0.02,24.56,14.16
2019,1,8,19,4.05,85.13,0.01,24.12,14.22
2019,1,8,20,4.25,79.52,0.01,23.74,14.16
2019,1,8,21,4.51,76.16,0.0,23.39,14.04
2019,1,8,22,4.54,74.62,0.0,23.03,13.98
2019,1,8,23,4.45,75.13,0.0,22.71,13.98
2019,1,9,0,4.57,78.06,0.01,22.43,13.98
2019,1,9,1,4.76,82.83,0.01,22.16,13.98
2019,1,9,2,4.83,88.15,0.01,21.94,13.98
2019,1,9,3,4.71,92.28,0.01,21.75,14.04
2019,1,9,4,4.42,94.86,0.01,21.58,14.16
2019,1,9,5,4.35,97.02,0.01,21.49,14.28
2019,1,9,6,4.85,102.36,0.01,22.37,14.4
2019,1,9,7,5.46,106.28,0.01,24.33,14.34
2019,1,9,8,5.21,106.83,0.01,26.11,14.22
2019,1,9,9,4.84,99.95,0.5,26.9,14.28
2019,1,9,10,5.14,87.65,0.43,26.59,14.47
2019,1,9,11,5.85,78.06,0.39,26.23,14.71
2019,1,9,12,6.48,71.59,0.39,26.02,14.89
2019,1,9,13,6.44,68.13,0.36,26.25,14.95
2019,1,9,14,5.85,66.31,0.28,26.42,14.89
2019,1,9,15,5.38,63.55,0.3,26.16,14.71
2019,1,9,16,4.87,59.78,0.34,25.39,14.89
2019,1,9,17,4.53,53.41,0.4,24.11,15.69
2019,1,9,18,5.04,49.22,0.38,23.17,15.75
2019,1,9,19,5.39,48.23,0.38,22.76,15.69
2019,1,9,20,5.65,48.02,0.36,22.45,15.62
2019,1,9,21,5.82,47.12,0.44,22.23,15.56
2019,1,9,22,6.2,43.11,0.62,21.98,15.5
2019,1,9,23,6.25,38.25,0.89,21.64,15.44
2019,1,10,0,5.03,40.91,1.08,21.21,15.5
2019,1,10,1,4.65,52.09,1.43,21.02,15.62
2019,1,10,2,5.53,58.58,1.79,21.06,15.62
2019,1,10,3,6.05,63.4,1.29,21.02,15.69
2019,1,10,4,6.1,66.62,0.7,21.0,15.75
2019,1,10,5,6.14,70.23,0.36,21.04,15.81
2019,1,10,6,6.2,74.28,0.17,21.62,16.05
2019,1,10,7,7.24,81.37,0.08,22.76,15.87
2019,1,10,8,7.27,87.84,0.03,24.72,15.32
2019,1,10,9,6.96,93.09,0.0,26.74,14.83
2019,1,10,10,6.72,96.21,0.0,28.44,14.59
2019,1,10,11,6.44,97.67,0.0,29.86,14.22
2019,1,10,12,6.06,99.2,0.0,30.87,13.61
2019,1,10,13,5.66,99.85,0.0,31.36,12.88
2019,1,10,14,5.44,99.1,0.0,31.36,12.15
2019,1,10,15,5.27,96.89,0.0,30.87,11.6
2019,1,10,16,4.82,93.62,0.0,29.69,11.78
2019,1,10,17,3.96,81.61,0.0,27.49,13.98
2019,1,10,18,3.66,64.31,0.0,25.9,13.79
2019,1,10,19,3.5,55.0,0.0,25.3,13.61
2019,1,10,20,2.83,54.9,0.0,24.87,13.61
2019,1,10,21,1.88,74.05,0.0,24.87,13.43
2019,1,10,22,1.88,116.46,0.0,24.62,13.55
2019,1,10,23,3.08,132.43,0.0,23.85,13.67
2019,1,11,0,4.55,125.57,0.0,23.37,13.31
2019,1,11,1,5.37,111.68,0.0,22.94,13.12
2019,1,11,2,5.35,98.32,0.0,22.44,13.24
2019,1,11,3,5.03,90.18,0.0,21.91,13.55
2019,1,11,4,4.88,89.17,0.0,21.58,13.79
2019,1,11,5,4.99,91.61,0.0,21.42,13.98
2019,1,11,6,5.79,96.97,0.0,22.48,14.16
2019,1,11,7,6.78,104.13,0.0,24.69,14.16
2019,1,11,8,6.87,111.49,0.0,27.02,13.98
2019,1,11,9,6.51,116.23,0.0,29.08,13.92
2019,1,11,10,6.16,118.91,0.0,30.62,13.79
2019,1,11,11,6.09,120.18,0.0,31.58,13.61
2019,1,11,12,5.97,120.15,0.0,32.34,13.31
2019,1,11,13,5.74,119.81,0.0,32.76,12.88
2019,1,11,14,5.53,119.42,0.0,32.86,12.33
2019,1,11,15,5.42,117.67,0.0,32.48,11.78
2019,1,11,16,5.15,114.35,0.0,31.45,11.72
2019,1,11,17,4.48,109.8,0.0,29.12,13.55
2019,1,11,18,3.98,102.92,0.0,27.56,13.73
2019,1,11,19,3.62,93.21,0.0,27.09,13.67
2019,1,11,20,3.38,82.43,0.0,26.52,13.61
2019,1,11,21,3.4,73.44,0.0,25.94,13.49
2019,1,11,22,3.53,66.27,0.0,25.39,13.49
2019,1,11,23,3.73,62.31,0.0,24.9,13.43
2019,1,12,0,4.14,66.29,0.0,24.4,13.37
2019,1,12,1,4.9,75.59,0.0,23.93,13.31
2019,1,12,2,5.66,80.38,0.0,23.47,13.18
2019,1,12,3,6.29,79.12,0.0,23.01,13.12
2019,1,12,4,6.25,76.19,0.0,22.54,13.18
2019,1,12,5,5.68,76.65,0.0,22.1,13.24
2019,1,12,6,5.24,77.6,0.0,23.13,13.37
2019,1,12,7,5.1,76.07,0.0,24.96,13.73
2019,1,12,8,4.53,78.77,0.0,26.94,13.73
2019,1,12,9,3.97,85.49,0.0,28.84,13.55
2019,1,12,10,3.56,95.66,0.0,30.44,13.37
2019,1,12,11,3.43,106.95,0.0,31.78,13.06
2019,1,12,12,3.26,116.14,0.0,32.62,12.63
2019,1,12,13,3.05,122.88,0.0,32.96,12.33
2019,1,12,14,2.98,126.15,0.0,32.87,12.08
2019,1,12,15,2.86,123.43,0.0,32.27,11.78
2019,1,12,16,2.6,113.72,0.0,31.17,11.78
2019,1,12,17,2.2,91.83,0.0,29.57,13.43
2019,1,12,18,2.14,44.56,0.0,28.19,13.79
2019,1,12,19,2.9,11.49,0.0,27.32,13.79
2019,1,12,20,3.67,356.46,0.0,26.41,13.79
2019,1,12,21,4.09,347.08,0.0,25.53,13.98
2019,1,12,22,4.23,340.6,0.0,24.65,14.22
2019,1,12,23,4.12,337.71,0.0,23.97,14.4
2019,1,13,0,3.43,340.99,0.0,23.43,14.59
2019,1,13,1,2.31,358.26,0.0,22.99,14.59
2019,1,13,2,1.82,36.43,0.0,22.59,14.65
2019,1,13,3,2.26,62.46,0.0,21.92,14.71
2019,1,13,4,2.83,72.01,0.0,21.37,14.83
2019,1,13,5,3.13,78.91,0.0,21.4,14.95
2019,1,13,6,2.91,76.34,0.0,23.14,14.89
2019,1,13,7,3.15,76.24,0.0,25.35,14.77
2019,1,13,8,3.75,79.18,0.0,27.39,14.65
2019,1,13,9,4.19,82.29,0.02,29.1,14.53
2019,1,13,10,4.49,86.21,0.02,30.3,14.34
2019,1,13,11,4.7,89.9,0.02,31.01,14.1
2019,1,13,12,4.83,93.06,0.02,31.4,13.92
2019,1,13,13,4.8,94.11,0.02,31.37,13.61
2019,1,13,14,4.67,93.36,0.03,31.24,13.31
2019,1,13,15,4.52,90.0,0.02,30.83,13.06
2019,1,13,16,4.46,83.87,0.0,30.15,13.06
2019,1,13,17,4.52,69.15,0.01,28.4,14.22
2019,1,13,18,4.86,59.56,0.03,26.76,14.47
2019,1,13,19,5.0,60.51,0.06,26.11,14.65
2019,1,13,20,5.31,65.77,0.03,25.51,14.77
2019,1,13,21,5.94,63.1,0.02,24.98,14.89
2019,1,13,22,6.7,54.44,0.02,24.57,15.14
2019,1,13,23,6.73,53.21,0.04,23.94,15.62
2019,1,14,0,6.37,59.41,0.06,23.38,16.24
2019,1,14,1,5.93,65.66,0.1,22.97,16.6
2019,1,14,2,5.91,65.47,0.17,22.73,16.85
2019,1,14,3,5.88,65.41,0.24,22.55,16.91
2019,1,14,4,5.86,65.08,0.3,22.43,16.91
2019,1,14,5,5.78,64.37,0.28,22.33,16.85
2019,1,14,6,5.84,63.81,0.41,22.99,16.97
2019,1,14,7,6.93,65.28,0.39,24.38,16.54
2019,1,14,8,7.06,68.66,0.53,26.19,15.81
2019,1,14,9,6.61,73.17,0.09,27.48,15.32
2019,1,14,10,6.17,78.69,0.07,28.34,15.01
2019,1,14,11,5.88,82.68,0.07,28.76,14.71
2019,1,14,12,5.87,86.49,0.07,28.98,14.53
2019,1,14,13,5.91,90.83,0.07,28.9,14.34
2019,1,14,14,5.77,94.27,0.06,28.8,14.16
2019,1,14,15,5.27,95.36,0.04,28.51,14.16
2019,1,14,16,4.21,97.03,0.04,27.83,15.01
2019,1,14,17,3.51,103.63,0.04,26.48,16.11
2019,1,14,18,3.32,113.3,0.04,25.65,15.75
2019,1,14,19,3.4,117.92,0.03,25.3,15.69
2019,1,14,20,3.53,113.61,0.03,24.99,15.62
2019,1,14,21,3.69,99.62,0.04,24.65,15.62
2019,1,14,22,4.18,81.07,0.04,24.25,15.56
2019,1,14,23,4.71,66.84,0.04,23.8,15.56
2019,1,15,0,4.72,60.63,0.03,23.26,15.69
2019,1,15,1,4.25,62.49,0.02,22.81,15.87
2019,1,15,2,3.89,69.05,0.01,22.49,16.05
2019,1,15,3,3.75,71.9,0.01,22.33,16.17
2019,1,15,4,3.55,73.36,0.01,22.19,16.24
2019,1,15,5,3.49,73.88,0.01,22.15,16.24
2019,1,15,6,3.37,75.77,0.01,23.19,16.3
2019,1,15,7,3.7,75.7,0.03,24.67,16.3
2019,1,15,8,3.94,77.98,0.05,26.17,15.99
2019,1,15,9,4.04,85.23,0.01,27.44,15.38
2019,1,15,10,4.08,94.17,0.01,28.63,14.83
2019,1,15,11,4.12,99.61,0.01,29.48,14.34
2019,1,15,12,4.09,100.13,0.01,29.96,13.92
2019,1,15,13,3.83,98.56,0.01,30.22,13.49
2019,1,15,14,3.41,94.73,0.01,30.14,13.12
2019,1,15,15,2.96,84.7,0.01,29.93,13.0
2019,1,15,16,2.67,62.98,0.01,29.33,13.73
2019,1,15,17,3.1,30.25,0.0,27.58,15.2
2019,1,15,18,4.31,13.96,0.0,26.12,14.4
2019,1,15,19,5.27,9.64,0.0,25.51,14.1
2019,1,15,20,5.9,10.14,0.0,25.07,13.92
2019,1,15,21,6.24,13.55,0.0,24.54,13.85
2019,1,15,22,6.33,18.95,0.0,23.91,13.85
2019,1,15,23,6.26,28.71,0.0,23.34,14.1
2019,1,16,0,6.13,42.26,0.0,22.73,14.47
2019,1,16,1,6.0,56.64,0.0,22.06,14.83
2019,1,16,2,5.95,68.28,0.0,21.56,15.14
2019,1,16,3,6.0,73.29,0.0,21.28,15.32
2019,1,16,4,5.78,73.52,0.0,21.06,15.44
2019,1,16,5,5.2,71.08,0.01,21.08,15.5
2019,1,16,6,5.59,61.72,0.01,22.48,15.56
2019,1,16,7,6.1,60.28,0.01,24.57,15.32
2019,1,16,8,5.43,70.08,0.01,26.43,14.95
2019,1,16,9,4.93,83.08,0.07,27.73,14.71
2019,1,16,10,4.78,95.81,0.06,28.4,14.53
2019,1,16,11,4.67,104.73,0.08,28.75,14.34
2019,1,16,12,4.4,109.08,0.11,28.93,14.16
2019,1,16,13,4.02,108.72,0.12,29.01,14.04
2019,1,16,14,3.56,107.88,0.11,28.87,14.04
2019,1,16,15,3.15,104.48,0.08,28.48,14.04
2019,1,16,16,2.68,93.34,0.07,27.58,14.28
2019,1,16,17,2.26,63.35,0.05,26.23,15.32
2019,1,16,18,2.75,29.77,0.04,25.06,15.44
2019,1,16,19,3.36,15.1,0.03,24.51,15.32
2019,1,16,20,3.85,5.12,0.02,23.93,15.32
2019,1,16,21,4.07,355.81,0.01,23.43,15.26
2019,1,16,22,4.07,352.83,0.01,22.85,15.14
2019,1,16,23,3.92,358.63,0.0,22.28,15.08
2019,1,17,0,3.43,14.92,0.0,21.82,15.01
2019,1,17,1,3.09,43.87,0.0,21.48,14.95
2019,1,17,2,3.56,73.83,0.01,21.05,14.95
2019,1,17,3,4.56,90.0,0.01,20.83,14.95
2019,1,17,4,5.08,96.09,0.01,20.67,14.95
2019,1,17,5,5.12,99.05,0.04,20.65,14.95
2019,1,17,6,4.75,99.18,0.1,22.68,15.08
2019,1,17,7,5.08,95.47,0.18,25.46,15.08
2019,1,17,8,5.01,101.06,0.23,27.64,15.14
2019,1,17,9,5.22,108.22,0.05,29.31,15.08
2019,1,17,10,5.53,111.56,0.05,30.3,14.77
2019,1,17,11,5.69,108.34,0.05,30.64,14.59
2019,1,17,12,5.56,100.61,0.05,30.39,14.47
2019,1,17,13,4.97,91.26,0.05,29.73,14.47
2019,1,17,14,4.06,79.12,0.04,29.43,14.53
2019,1,17,15,3.34,62.54,0.03,29.03,14.65
2019,1,17,16,2.89,48.07,0.03,28.49,14.77
2019,1,17,17,3.23,23.4,0.02,27.1,15.56
2019,1,17,18,4.45,5.04,0.02,25.39,15.69
2019,1,17,19,5.15,357.48,0.01,24.8,15.87
2019,1,17,20,5.29,355.94,0.01,24.32,16.05
2019,1,17,21,5.07,358.76,0.01,23.87,16.17
2019,1,17,22,4.56,7.48,0.01,23.58,16.24
2019,1,17,23,4.14,21.14,0.01,23.42,16.17
2019,1,18,0,4.03,38.38,0.01,23.33,16.17
2019,1,18,1,3.95,54.83,0.04,23.05,16.17
2019,1,18,2,3.57,68.99,0.1,22.79,16.3
2019,1,18,3,2.82,83.31,0.23,22.6,16.36
2019,1,18,4,2.1,109.38,0.38,22.47,16.54
2019,1,18,5,2.12,152.11,0.54,22.39,16.66
2019,1,18,6,2.49,174.06,0.69,22.83,16.66
2019,1,18,7,2.15,163.28,0.69,24.02,16.6
2019,1,18,8,2.0,139.11,0.47,25.28,16.36
2019,1,18,9,2.68,123.23,0.14,25.65,16.24
2019,1,18,10,3.4,115.86,0.07,25.6,16.3
2019,1,18,11,4.03,112.09,0.03,25.81,16.36
2019,1,18,12,4.1,110.4,0.02,26.1,16.3
2019,1,18,13,3.25,114.72,0.01,26.28,16.24
2019,1,18,14,2.46,127.52,0.01,26.65,16.05
2019,1,18,15,2.39,134.6,0.01,26.89,15.81
2019,1,18,16,2.58,130.7,0.01,26.76,15.81
2019,1,18,17,2.46,123.34,0.01,25.56,16.48
2019,1,18,18,2.5,116.57,0.02,24.6,15.56
2019,1,18,19,2.84,113.53,0.03,24.09,15.26
2019,1,18,20,2.89,101.71,0.02,23.67,15.08
2019,1,18,21,2.77,67.99,0.02,23.51,15.01
2019,1,18,22,3.36,43.3,0.02,23.06,15.2
2019,1,18,23,3.64,46.83,0.01,22.7,15.38
2019,1,19,0,4.04,60.36,0.01,22.51,15.56
2019,1,19,1,4.8,75.49,0.01,22.24,15.56
2019,1,19,2,5.04,88.49,0.04,21.94,15.56
2019,1,19,3,4.92,105.93,0.12,21.66,15.5
2019,1,19,4,5.09,125.13,0.27,21.44,15.44
2019,1,19,5,5.92,136.28,0.4,21.32,15.32
2019,1,19,6,6.64,135.86,0.41,21.8,15.26
2019,1,19,7,7.88,123.26,0.37,22.54,14.95
2019,1,19,8,8.72,108.92,0.32,23.39,14.71
2019,1,19,9,7.82,102.87,0.85,24.24,14.65
2019,1,19,10,5.98,105.83,0.5,25.1,14.71
2019,1,19,11,4.71,112.52,0.28,26.34,14.77
2019,1,19,12,3.92,108.0,0.13,27.89,14.71
2019,1,19,13,3.71,98.85,0.06,28.86,14.4
2019,1,19,14,3.72,91.93,0.02,28.89,14.16
2019,1,19,15,3.89,81.45,0.01,28.43,14.04
2019,1,19,16,4.41,59.07,0.0,27.47,14.77
2019,1,19,17,5.82,44.84,0.0,25.8,15.32
2019,1,19,18,6.79,42.81,0.0,24.59,15.14
2019,1,19,19,6.73,46.65,0.0,24.05,15.14
